# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0666,0.795775,0.990667
0.0667,0.842149,0.989591
0.0668,0.941767,0.98898
0.0669,1.07092,0.989089
0.067,0.812312,0.988791
0.0671,1.1008,0.988589
0.0672,0.84745,0.988499
0.0673,0.66899,0.987056
0.0674,1.07572,0.986338
0.0675,1.00417,0.986674
0.0676,0.817516,0.986199
0.0677,0.950507,0.985559
0.0678,0.608162,0.984267
0.0679,1.26262,0.983961
0.068,0.869594,0.984475
0.0681,0.697746,0.983218
0.0682,1.13776,0.982808
0.0683,0.905766,0.983052
0.0684,0.913702,0.982592
0.0685,0.757536,0.981672
0.0686,1.02943,0.98112
0.0687,0.882051,0.980961
0.0688,0.974269,0.98063
0.0689,1.11297,0.981024
0.069,1.13908,0.981933
0.0691,1.19464,0.983091
0.0692,1.29493,0.98473
0.0693,1.3372,0.986805
0.0694,1.16968,0.988475
0.0695,1.13051,0.989488
0.0696,1.03191,0.990062
0.0697,0.990909,0.990196
0.0698,0.557067,0.988842
0.0699,0.782314,0.986843
0.07,0.807364,0.98564
0.0701,1.00755,0.98515
0.0702,1.16315,0.985778
0.0703,0.616773,0.985178
0.0704,0.975052,0.983992
0.0705,1.09672,0.984317
0.0706,1.13977,0.985156
0.0707,1.33047,0.986722
0.0708,1.12824,0.988242
0.0709,1.11847,0.989088
0.071,0.646534,0.98842
0.0711,1.15316,0.987866
0.0712,0.833043,0.987898
0.0713,0.858768,0.987009
0.0714,1.17992,0.987212
0.0715,1.24939,0.988636
0.0716,1.17661,0.990041
0.0717,1.09385,0.990951
0.0718,0.985298,0.991255
0.0719,1.02042,0.991328
0.072,0.76424,0.990708
0.0721,1.06237,0.990223
0.0722,1.06244,0.990675
0.0723,1.47714,0.992423
0.0724,0.685744,0.992981
0.0725,1.09976,0.992353
0.0726,0.964231,0.992602
0.0727,1.15205,0.993012
0.0728,0.861073,0.993097
0.0729,0.920007,0.992455
0.073,0.750842,0.991471
0.0731,1.27595,0.991608
0.0732,1.15052,0.992996
0.0733,1.00148,0.993516
0.0734,0.882914,0.993195
0.0735,0.511002,0.991339
0.0736,0.785392,0.98919
0.0737,0.825632,0.98804
0.0738,1.13227,0.987983
0.0739,0.953864,0.988328
0.074,0.922604,0.988014
0.0741,0.997641,0.987839
0.0742,1.35426,0.989018
0.0743,1.39054,0.991419
0.0744,1.02991,0.992789
0.0745,1.05755,0.993108
0.0746,0.850849,0.992865
0.0747,0.870804,0.992038
0.0748,1.25695,0.992488
0.0749,1.17049,0.993873
0.075,1.13131,0.994857
0.0751,1.09663,0.995603
0.0752,1.1336,0.996352
0.0753,0.823212,0.996239
0.0754,1.02769,0.995796
0.0755,1.21301,0.996576
0.0756,0.999652,0.997263
0.0757,1.10236,0.9976
0.0758,1.13516,0.998359
0.0759,1.03605,0.998905
0.076,0.777025,0.998327
0.0761,1.54456,0.999344
0.0762,1.01126,1.00109
0.0763,0.93659,1.00092
0.0764,1.08127,1.00097
0.0765,0.864162,1.00079
0.0766,0.937032,1.00016
0.0767,1.07809,1.00021
0.0768,0.745058,0.999656
0.0769,0.896226,0.998535
0.077,0.689733,0.997247
0.0771,1.04657,0.996439
0.0772,1.25128,0.997394
0.0773,0.83142,0.997669
0.0774,1.33933,0.998218
0.0775,0.873074,0.998895
0.0776,1.09437,0.9988
0.0777,0.878026,0.998721
0.0778,1.23471,0.999082
0.0779,0.912661,0.999549
0.078,0.779507,0.998588
0.0781,1.23948,0.998656
0.0782,1.33567,1.00047
0.0783,0.815692,1.00094
0.0784,1.193,1.00096
0.0785,0.938337,1.00136
0.0786,0.728392,1.00031
0.0787,1.06287,0.999656
0.0788,1.12792,1.00026
0.0789,0.868698,1.00024
0.079,1.23872,1.00058
0.0791,0.717424,1.00044
0.0792,0.941285,0.999365
0.0793,1.03678,0.999301
0.0794,1.01258,0.99946
0.0795,0.609475,0.998279
0.0796,0.812777,0.996481
0.0797,0.86371,0.99549
0.0798,1.28142,0.995972
0.0799,1.08502,0.997145
0.08,1.21313,0.998097
0.0801,0.568913,0.997426
0.0802,0.952175,0.995943
0.0803,1.17885,0.996378
0.0804,1.09535,0.99726
0.0805,1.09839,0.997884
0.0806,0.987443,0.998166
0.0807,0.915191,0.997872
0.0808,0.782042,0.996937
0.0809,0.907917,0.995986
0.081,0.697726,0.994776
0.0811,0.672162,0.992835
0.0812,0.661026,0.990792
0.0813,0.859793,0.989349
0.0814,0.986169,0.988933
0.0815,1.4354,0.990323
0.0816,0.787152,0.99108
0.0817,1.11244,0.990822
0.0818,0.926433,0.991001
0.0819,1.23085,0.99155
0.082,1.0015,0.99233
0.0821,1.15611,0.992872
0.0822,0.980849,0.993345
0.0823,1.00568,0.993345
0.0824,1.18786,0.993993
0.0825,1.23256,0.995347
0.0826,1.12321,0.99649
0.0827,0.80288,0.996281
0.0828,0.692417,0.994724
0.0829,1.27577,0.994657
0.083,0.956126,0.995417
0.0831,0.929903,0.995088
0.0832,0.967398,0.994798
0.0833,0.689643,0.993756
0.0834,1.05847,0.993006
0.0835,1.15274,0.993712
0.0836,1.25929,0.995041
0.0837,1.1904,0.996481
0.0838,1.07034,0.997319
0.0839,0.833727,0.997036
0.084,0.554618,0.995139
0.0841,1.06122,0.993966
0.0842,0.976573,0.994122
0.0843,0.814334,0.993504
0.0844,1.2013,0.993594
0.0845,0.897777,0.993944
0.0846,1.17939,0.994224
0.0847,0.883511,0.994457
0.0848,1.00006,0.994127
