# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0771,-0.309018,-0.0283788
0.0772,-0.248691,-0.0229619
0.0773,-0.187382,-0.0174886
0.0774,-0.125334,-0.0119808
0.0775,-0.0627915,-0.00646024
0.0776,-9.41749e-07,-0.000948861
0.0777,0.0627896,0.00453176
0.0778,0.125332,0.00996025
0.0779,0.18738,0.0153156
0.078,0.248689,0.0205771
0.0781,0.309016,0.0257248
0.0782,0.368124,0.030739
0.0783,0.425778,0.0356005
0.0784,0.481752,0.0402915
0.0785,0.535826,0.0447954
0.0786,0.587785,0.0490949
0.0787,0.637423,0.0531739
0.0788,0.684546,0.0570179
0.0789,0.728968,0.0606139
0.079,0.770513,0.0639489
0.0791,0.809016,0.0670114
0.0792,0.844327,0.069791
0.0793,0.876306,0.0722786
0.0794,0.904827,0.0744666
0.0795,0.929776,0.0763477
0.0796,0.951056,0.0779167
0.0797,0.968583,0.0791693
0.0798,0.982287,0.0801026
0.0799,0.992115,0.0807149
0.08,0.998027,0.0810059
0.0801,1,0.0809763
0.0802,0.998027,0.0806283
0.0803,0.992115,0.0799654
0.0804,0.982287,0.078992
0.0805,0.968583,0.0777139
0.0806,0.951057,0.076138
0.0807,0.929777,0.0742725
0.0808,0.904828,0.0721265
0.0809,0.876307,0.0697101
0.081,0.844329,0.0670346
0.0811,0.809018,0.0641121
0.0812,0.770514,0.0609557
0.0813,0.728969,0.0575792
0.0814,0.684548,0.0539974
0.0815,0.637425,0.0502255
0.0816,0.587786,0.0462797
0.0817,0.535828,0.0421764
0.0818,0.481755,0.0379329
0.0819,0.42578,0.0335667
0.082,0.368126,0.0290958
0.0821,0.309018,0.0245386
0.0822,0.248691,0.0199131
0.0823,0.187382,0.0152383
0.0824,0.125334,0.010533
0.0825,0.0627917,0.0058155
0.0826,1.02917e-06,0.00110456
0.0827,-0.0627894,-0.003581
